Squirrel_Id,Snake_ID,Squirrel_Pop,Snake_Pop,Snake_Elevation,Squirrel_Elevation,PairedGeoDistance,SnakeElevType,SquirrelElevType,Comparison_Type, Baseline_Metalloproteinase Activity ,Metalloproteinase_Activity_Serum_Present,Change_in_Activity
326,68,Windwolves,Blue Oaks,763,715,352468.49,High,High,AS,166.49,129.83,-36.66
326,91,Windwolves,Chico Creek,381,715,584937.13,Low,High,AD,747.36,631.39,-115.97
326,127,Windwolves,Hopland REC,253,715,568137.07,Low,High,AD,859.56,846.45,-13.11
326,142,Windwolves,Humboldt Co,645,715,760769.73,High,High,AS,688.94,336.73,-352.21
326,188,Windwolves,McLaughlin Res,715,715,517356.34,High,High,AS,889.19,533.26,-355.93
326,222,Windwolves,Cantua Creek,530,715,203081.21,High,High,AS,823.66,428.16,-395.5
326,242,Windwolves,San Joaquin Exp R,323,715,241853.78,Low,High,AD,489.33,232.15,-257.18
326,256,Windwolves,Sedgwick,332,715,83582.38,Low,High,AD,439.74,357.56,-82.18
326,286,Windwolves,Sutter Buttes,85,715,530804.08,Low,High,AD,440.74,135.31,-305.43
326,307,Windwolves,Vandenberg,385,715,126996.5,Low,High,AD,1121.58,484.5,-637.08
326,321,Windwolves,Windwolves,715,715,0,High,High,Sympatric,1526.79,1287.59,-239.2
326,339,Windwolves,Chimineas,810,715,75241.12,High,High,AS,1283.33,956.45,-326.88
329,44,Windwolves,Blue Oaks,763,715,352468.49,High,High,AS,1052.02,844.41,-207.61
329,82,Windwolves,Chico Creek,381,715,584937.13,Low,High,AD,678.73,317.99,-360.74
329,129,Windwolves,Hopland REC,253,715,568137.07,Low,High,AD,191.3,287.44,96.14
329,157,Windwolves,Humboldt Co,645,715,760769.73,High,High,AS,1340.08,936.31,-403.77
329,184,Windwolves,McLaughlin Res,715,715,517356.34,High,High,AS,905.91,437.33,-468.58
329,220,Windwolves,Cantua Creek,530,715,203081.21,High,High,AS,742.96,373.22,-369.74
329,238,Windwolves,San Joaquin Exp R,323,715,241853.78,Low,High,AD,644.51,317.49,-327.02
329,265,Windwolves,Sedgwick,332,715,83582.38,Low,High,AD,255.17,272.89,17.72
329,304,Windwolves,Vandenberg,385,715,126996.5,Low,High,AD,298.93,306.06,7.13
329,332,Windwolves,Windwolves,715,715,0,High,High,Sympatric,818.54,390.09,-428.45
329,336,Windwolves,Chimineas,810,715,75241.12,High,High,AS,1135.54,562.75,-572.79
329,341,Windwolves,Sutter Buttes,85,715,530804.08,Low,High,AD,1084.18,476.93,-607.25
333,22,Windwolves,Blue Oaks,763,715,352468.49,High,High,AS,904.55,490.36,-414.19
333,93,Windwolves,Chico Creek,381,715,584937.13,Low,High,AD,979.46,535.03,-444.43
333,125,Windwolves,Hopland REC,253,715,568137.07,Low,High,AD,159.79,81.41,-78.38
333,140,Windwolves,Humboldt Co,645,715,760769.73,High,High,AS,1249.5,523.77,-725.73
333,176,Windwolves,McLaughlin Res,715,715,517356.34,High,High,AS,1075.21,477.73,-597.48
333,225,Windwolves,Cantua Creek,530,715,203081.21,High,High,AS,1065.59,337.41,-728.18
333,234,Windwolves,San Joaquin Exp R,323,715,241853.78,Low,High,AD,648.92,259.5,-389.42
333,254,Windwolves,Sedgwick,332,715,83582.38,Low,High,AD,888.79,526.81,-361.98
333,315,Windwolves,Vandenberg,385,715,126996.5,Low,High,AD,999.97,296.2,-703.77
333,334,Windwolves,Windwolves,715,715,0,High,High,Sympatric,610.63,242.02,-368.61
333,337,Windwolves,Chimineas,810,715,75241.12,High,High,AS,1066.86,387.54,-679.32
333,345,Windwolves,Sutter Buttes,85,715,530804.08,Low,High,AD,198.9,81.35,-117.55
334,17,Windwolves,Blue Oaks,763,715,352468.49,High,High,AS,847.3,716.25,-131.05
334,90,Windwolves,Chico Creek,381,715,584937.13,Low,High,AD,761.7,648.01,-113.69
334,111,Windwolves,Chimineas,810,715,75241.12,High,High,AS,1196.65,718.67,-477.98
334,135,Windwolves,Hopland REC,253,715,568137.07,Low,High,AD,125.81,363.17,237.36
334,143,Windwolves,Humboldt Co,645,715,760769.73,High,High,AS,943.06,669.75,-273.31
334,182,Windwolves,McLaughlin Res,715,715,517356.34,High,High,AS,1764.36,1830.16,65.8
334,228,Windwolves,Cantua Creek,530,715,203081.21,High,High,AS,983.92,700.4,-283.52
334,239,Windwolves,San Joaquin Exp R,323,715,241853.78,Low,High,AD,923.41,498.62,-424.79
334,263,Windwolves,Sedgwick,332,715,83582.38,Low,High,AD,788.18,514.9,-273.28
334,314,Windwolves,Vandenberg,385,715,126996.5,Low,High,AD,935.4,563.32,-372.08
334,319,Windwolves,Windwolves,715,715,0,High,High,Sympatric,1060.28,774.02,-286.26
334,348,Windwolves,Sutter Buttes,85,715,530804.08,Low,High,AD,740.9,391.6,-349.3
337,50,Windwolves,Blue Oaks,763,715,352468.49,High,High,AS,709.02,601.09,-107.93
337,77,Windwolves,Chico Creek,381,715,584937.13,Low,High,AD,576.98,301.29,-275.69
337,115,Windwolves,Chimineas,810,715,75241.12,High,High,AS,1580.44,786.46,-793.98
337,133,Windwolves,Hopland REC,253,715,568137.07,Low,High,AD,499.37,387.96,-111.41
337,161,Windwolves,Humboldt Co,645,715,760769.73,High,High,AS,275.39,258.54,-16.85
337,181,Windwolves,McLaughlin Res,715,715,517356.34,High,High,AS,270.64,169.03,-101.61
337,227,Windwolves,Cantua Creek,530,715,203081.21,High,High,AS,552.07,435.81,-116.26
337,235,Windwolves,San Joaquin Exp R,323,715,241853.78,Low,High,AD,920.18,410.36,-509.82
337,267,Windwolves,Sedgwick,332,715,83582.38,Low,High,AD,1140.13,839.75,-300.38
337,305,Windwolves,Vandenberg,385,715,126996.5,Low,High,AD,591.33,266.25,-325.08
337,316,Windwolves,Windwolves,715,715,0,High,High,Sympatric,1208.72,785.74,-422.98
337,347,Windwolves,Sutter Buttes,85,715,530804.08,Low,High,AD,441.94,206.95,-234.99
338,28,Windwolves,Blue Oaks,763,715,352468.49,High,High,AS,977.18,535.29,-441.89
338,78,Windwolves,Chico Creek,381,715,584937.13,Low,High,AD,707.53,355,-352.53
338,131,Windwolves,Hopland REC,253,715,568137.07,Low,High,AD,262.06,500.48,238.42
338,152,Windwolves,Humboldt Co,645,715,760769.73,High,High,AS,494.98,348.12,-146.86
338,170,Windwolves,McLaughlin Res,715,715,517356.34,High,High,AS,1022.63,556.8,-465.83
338,223,Windwolves,Cantua Creek,530,715,203081.21,High,High,AS,1031.72,456.17,-575.55
338,232,Windwolves,San Joaquin Exp R,323,715,241853.78,Low,High,AD,849.11,453.57,-395.54
338,264,Windwolves,Sedgwick,332,715,83582.38,Low,High,AD,976.82,471.45,-505.37
338,285,Windwolves,Sutter Buttes,85,715,530804.08,Low,High,AD,639.4,304.28,-335.12
338,309,Windwolves,Vandenberg,385,715,126996.5,Low,High,AD,163.02,166.38,3.36
338,318,Windwolves,Windwolves,715,715,0,High,High,Sympatric,1128.89,504.56,-624.33
338,335,Windwolves,Chimineas,810,715,75241.12,High,High,AS,853.05,246.18,-606.87
339,30,Windwolves,Blue Oaks,763,715,352468.49,High,High,AS,839.47,547.68,-291.79
339,83,Windwolves,Chico Creek,381,715,584937.13,Low,High,AD,677.74,490.89,-186.85
339,106,Windwolves,Chimineas,810,715,75241.12,High,High,AS,1099.35,597.15,-502.2
339,132,Windwolves,Hopland REC,253,715,568137.07,Low,High,AD,366.35,453.04,86.69
339,141,Windwolves,Humboldt Co,645,715,760769.73,High,High,AS,856.68,521.15,-335.53
339,168,Windwolves,McLaughlin Res,715,715,517356.34,High,High,AS,1078.88,580.03,-498.85
339,221,Windwolves,Cantua Creek,530,715,203081.21,High,High,AS,754.11,519.56,-234.55
339,241,Windwolves,San Joaquin Exp R,323,715,241853.78,Low,High,AD,488.55,265.31,-223.24
339,253,Windwolves,Sedgwick,332,715,83582.38,Low,High,AD,1389.02,848.76,-540.26
339,301,Windwolves,Vandenberg,385,715,126996.5,Low,High,AD,1031.57,665.98,-365.59
339,333,Windwolves,Windwolves,715,715,0,High,High,Sympatric,790.98,507.64,-283.34
339,342,Windwolves,Sutter Buttes,85,715,530804.08,Low,High,AD,569.18,150.7,-418.48
340,68,Chimineas,Blue Oaks,763,810,292125.08,High,High,AS,166.49,211.07,44.58
340,82,Chimineas,Chico Creek,381,810,540375.69,Low,High,AD,678.73,683.29,4.56
340,105,Chimineas,Chimineas,810,810,0,High,High,Sympatric,1475,1188.43,-286.57
340,133,Chimineas,Hopland REC,253,810,509196.51,Low,High,AD,499.37,376.67,-122.7
340,151,Chimineas,Humboldt Co,645,810,705950.02,High,High,AS,790.98,428.85,-362.13
340,167,Chimineas,McLaughlin Res,715,810,462546.44,High,High,AS,1247.14,1067.59,-179.55
340,227,Chimineas,Cantua Creek,530,810,148130.12,High,High,AS,552.07,412.28,-139.79
340,238,Chimineas,San Joaquin Exp R,323,810,215854.05,Low,High,AD,644.51,766.02,121.51
340,268,Chimineas,Sedgwick,332,810,52625.45,Low,High,AD,474.62,310.86,-163.76
340,300,Chimineas,Vandenberg,385,810,78241.84,Low,High,AD,1031.86,619.48,-412.38
340,332,Chimineas,Windwolves,715,810,75241.12,High,High,AS,818.54,462.7,-355.84
340,341,Chimineas,Sutter Buttes,85,810,482936.04,Low,High,AD,1084.18,701.54,-382.64
342,30,Chimineas,Blue Oaks,763,810,292125.08,High,High,AS,839.47,623.49,-215.98
342,77,Chimineas,Chico Creek,381,810,540375.69,Low,High,AD,576.98,392.61,-184.37
342,106,Chimineas,Chimineas,810,810,0,High,High,Sympatric,1099.35,707.84,-391.51
342,132,Chimineas,Hopland REC,253,810,509196.51,Low,High,AD,366.35,468.42,102.07
342,157,Chimineas,Humboldt Co,645,810,705950.02,High,High,AS,1340.08,1115.34,-224.74
342,184,Chimineas,McLaughlin Res,715,810,462546.44,High,High,AS,905.91,483.54,-422.37
342,216,Chimineas,Cantua Creek,530,810,148130.12,High,High,AS,1106.14,588.2,-517.94
342,234,Chimineas,San Joaquin Exp R,323,810,215854.05,Low,High,AD,648.92,420.44,-228.48
342,267,Chimineas,Sedgwick,332,810,52625.45,Low,High,AD,1140.13,830.24,-309.89
342,314,Chimineas,Vandenberg,385,810,78241.84,Low,High,AD,935.4,429.91,-505.49
342,317,Chimineas,Windwolves,715,810,75241.12,High,High,AS,1051.68,703.54,-348.14
342,342,Chimineas,Sutter Buttes,85,810,482936.04,Low,High,AD,569.18,113.18,-456
344,28,Chimineas,Blue Oaks,763,810,292125.08,High,High,AS,977.18,845.63,-131.55
344,83,Chimineas,Chico Creek,381,810,540375.69,Low,High,AD,677.74,706.12,28.38
344,111,Chimineas,Chimineas,810,810,0,High,High,Sympatric,1196.65,910.15,-286.5
344,125,Chimineas,Hopland REC,253,810,509196.51,Low,High,AD,159.79,154.9,-4.89
344,139,Chimineas,Humboldt Co,645,810,705950.02,High,High,AS,847.82,697.95,-149.87
344,170,Chimineas,McLaughlin Res,715,810,462546.44,High,High,AS,1022.63,959.1,-63.53
344,222,Chimineas,Cantua Creek,530,810,148130.12,High,High,AS,823.66,545.17,-278.49
344,237,Chimineas,San Joaquin Exp R,323,810,215854.05,Low,High,AD,851.2,685.06,-166.14
344,253,Chimineas,Sedgwick,332,810,52625.45,Low,High,AD,1389.02,1019.23,-369.79
344,288,Chimineas,Sutter Buttes,85,810,482936.04,Low,High,AD,771.87,653.88,-117.99
344,301,Chimineas,Vandenberg,385,810,78241.84,Low,High,AD,1031.57,806.77,-224.8
344,318,Chimineas,Windwolves,715,810,75241.12,High,High,AS,1128.89,989.68,-139.21
347,14,Chimineas,Blue Oaks,763,810,292125.08,High,High,AS,798.38,901.07,102.69
347,79,Chimineas,Chico Creek,381,810,540375.69,Low,High,AD,829.12,756.98,-72.14
347,114,Chimineas,Chimineas,810,810,0,High,High,Sympatric,705.51,517.52,-187.99
347,131,Chimineas,Hopland REC,253,810,509196.51,Low,High,AD,262.06,428.09,166.03
347,161,Chimineas,Humboldt Co,645,810,705950.02,High,High,AS,275.39,240.07,-35.32
347,182,Chimineas,McLaughlin Res,715,810,462546.44,High,High,AS,1764.36,1832.72,68.36
347,221,Chimineas,Cantua Creek,530,810,148130.12,High,High,AS,754.11,498.78,-255.33
347,232,Chimineas,San Joaquin Exp R,323,810,215854.05,Low,High,AD,849.11,632.95,-216.16
347,265,Chimineas,Sedgwick,332,810,52625.45,Low,High,AD,255.17,263.05,7.88
347,313,Chimineas,Vandenberg,385,810,78241.84,Low,High,AD,196.77,235.53,38.76
347,333,Chimineas,Windwolves,715,810,75241.12,High,High,AS,790.98,465.24,-325.74
347,348,Chimineas,Sutter Buttes,85,810,482936.04,Low,High,AD,740.9,246.09,-494.81
348,50,Chimineas,Blue Oaks,763,810,292125.08,High,High,AS,709.02,805.3,96.28
348,93,Chimineas,Chico Creek,381,810,540375.69,Low,High,AD,979.46,1195.93,216.47
348,123,Chimineas,Hopland REC,253,810,509196.51,Low,High,AD,410.26,254.44,-155.82
348,140,Chimineas,Humboldt Co,645,810,705950.02,High,High,AS,1249.5,1138.11,-111.39
348,179,Chimineas,McLaughlin Res,715,810,462546.44,High,High,AS,1122.04,1052.9,-69.14
348,217,Chimineas,Cantua Creek,530,810,148130.12,High,High,AS,1476.47,1020.7,-455.77
348,239,Chimineas,San Joaquin Exp R,323,810,215854.05,Low,High,AD,923.41,486.85,-436.56
348,256,Chimineas,Sedgwick,332,810,52625.45,Low,High,AD,439.74,476.42,36.68
348,311,Chimineas,Vandenberg,385,810,78241.84,Low,High,AD,447.01,624.99,177.98
348,334,Chimineas,Windwolves,715,810,75241.12,High,High,AS,610.63,466.02,-144.61
348,338,Chimineas,Chimineas,810,810,0,High,High,Sympatric,1354.09,1181.7,-172.39
348,347,Chimineas,Sutter Buttes,85,810,482936.04,Low,High,AD,441.94,296.71,-145.23
349,44,Chimineas,Blue Oaks,763,810,292125.08,High,High,AS,1052.02,1423.7,371.68
349,91,Chimineas,Chico Creek,381,810,540375.69,Low,High,AD,747.36,797.57,50.21
349,135,Chimineas,Hopland REC,253,810,509196.51,Low,High,AD,125.81,276.83,151.02
349,152,Chimineas,Humboldt Co,645,810,705950.02,High,High,AS,494.98,422.07,-72.91
349,181,Chimineas,McLaughlin Res,715,810,462546.44,High,High,AS,270.64,232.92,-37.72
349,225,Chimineas,Cantua Creek,530,810,148130.12,High,High,AS,1065.59,760.99,-304.6
349,235,Chimineas,San Joaquin Exp R,323,810,215854.05,Low,High,AD,920.18,535.12,-385.06
349,264,Chimineas,Sedgwick,332,810,52625.45,Low,High,AD,976.82,630.68,-346.14
349,315,Chimineas,Vandenberg,385,810,78241.84,Low,High,AD,999.97,575.86,-424.11
349,319,Chimineas,Windwolves,715,810,75241.12,High,High,AS,1060.28,896.76,-163.52
349,335,Chimineas,Chimineas,810,810,0,High,High,Sympatric,853.05,339.16,-513.89
349,345,Chimineas,Sutter Buttes,85,810,482936.04,Low,High,AD,198.9,141.03,-57.87
350,42,Chimineas,Blue Oaks,763,810,292125.08,High,High,AS,1398.71,1754.08,355.37
350,88,Chimineas,Chico Creek,381,810,540375.69,Low,High,AD,621.68,644.58,22.9
350,115,Chimineas,Chimineas,810,810,0,High,High,Sympatric,1580.44,1368.66,-211.78
350,137,Chimineas,Hopland REC,253,810,509196.51,Low,High,AD,409.99,634.26,224.27
350,147,Chimineas,Humboldt Co,645,810,705950.02,High,High,AS,809.28,600.97,-208.31
350,176,Chimineas,McLaughlin Res,715,810,462546.44,High,High,AS,1075.21,1030.74,-44.47
350,223,Chimineas,Cantua Creek,530,810,148130.12,High,High,AS,1031.72,706.93,-324.79
350,242,Chimineas,San Joaquin Exp R,323,810,215854.05,Low,High,AD,489.33,386.05,-103.28
350,266,Chimineas,Sedgwick,332,810,52625.45,Low,High,AD,706.13,559.57,-146.56
350,287,Chimineas,Sutter Buttes,85,810,482936.04,Low,High,AD,746.07,414.84,-331.23
350,309,Chimineas,Vandenberg,385,810,78241.84,Low,High,AD,163.02,237.53,74.51
350,320,Chimineas,Windwolves,715,810,75241.12,High,High,AS,1000.64,634.38,-366.26
351,22,Chimineas,Blue Oaks,763,810,292125.08,High,High,AS,904.55,921.62,17.07
351,84,Chimineas,Chico Creek,381,810,540375.69,Low,High,AD,790.17,640.15,-150.02
351,134,Chimineas,Hopland REC,253,810,509196.51,Low,High,AD,304.79,542.42,237.63
351,142,Chimineas,Humboldt Co,645,810,705950.02,High,High,AS,688.94,515.12,-173.82
351,168,Chimineas,McLaughlin Res,715,810,462546.44,High,High,AS,1078.88,755.49,-323.39
351,228,Chimineas,Cantua Creek,530,810,148130.12,High,High,AS,983.92,656,-327.92
351,241,Chimineas,San Joaquin Exp R,323,810,215854.05,Low,High,AD,488.55,332.47,-156.08
351,254,Chimineas,Sedgwick,332,810,52625.45,Low,High,AD,888.79,834.65,-54.14
351,286,Chimineas,Sutter Buttes,85,810,482936.04,Low,High,AD,440.74,239.52,-201.22
351,304,Chimineas,Vandenberg,385,810,78241.84,Low,High,AD,298.93,331.97,33.04
351,331,Chimineas,Windwolves,715,810,75241.12,High,High,AS,477.38,308.48,-168.9
351,337,Chimineas,Chimineas,810,810,0,High,High,Sympatric,1066.86,665.37,-401.49
352,64,Chimineas,Blue Oaks,763,810,292125.08,High,High,AS,805.47,758.42,-47.05
352,90,Chimineas,Chico Creek,381,810,540375.69,Low,High,AD,761.7,741.61,-20.09
352,127,Chimineas,Hopland REC,253,810,509196.51,Low,High,AD,859.56,841.41,-18.15
352,141,Chimineas,Humboldt Co,645,810,705950.02,High,High,AS,856.68,750.48,-106.2
352,180,Chimineas,McLaughlin Res,715,810,462546.44,High,High,AS,858.18,630.64,-227.54
352,220,Chimineas,Cantua Creek,530,810,148130.12,High,High,AS,742.96,464.87,-278.09
352,240,Chimineas,San Joaquin Exp R,323,810,215854.05,Low,High,AD,447.01,322.34,-124.67
352,263,Chimineas,Sedgwick,332,810,52625.45,Low,High,AD,788.18,542.39,-245.79
352,285,Chimineas,Sutter Buttes,85,810,482936.04,Low,High,AD,639.4,348.32,-291.08
352,305,Chimineas,Vandenberg,385,810,78241.84,Low,High,AD,591.33,310.75,-280.58
352,321,Chimineas,Windwolves,715,810,75241.12,High,High,AS,1526.79,1376.62,-150.17
352,339,Chimineas,Chimineas,810,810,0,High,High,Sympatric,1283.33,1317.51,34.18
354,17,Chimineas,Blue Oaks,763,810,292125.08,High,High,AS,847.3,762.32,-84.98
354,78,Chimineas,Chico Creek,381,810,540375.69,Low,High,AD,707.53,754.15,46.62
354,129,Chimineas,Hopland REC,253,810,509196.51,Low,High,AD,191.3,325.97,134.67
354,143,Chimineas,Humboldt Co,645,810,705950.02,High,High,AS,943.06,711.2,-231.86
354,188,Chimineas,McLaughlin Res,715,810,462546.44,High,High,AS,889.19,670.56,-218.63
354,219,Chimineas,Cantua Creek,530,810,148130.12,High,High,AS,1143.54,680.25,-463.29
354,236,Chimineas,San Joaquin Exp R,323,810,215854.05,Low,High,AD,450.44,255.42,-195.02
354,262,Chimineas,Sedgwick,332,810,52625.45,Low,High,AD,743.3,616.48,-126.82
354,290,Chimineas,Sutter Buttes,85,810,482936.04,Low,High,AD,945.83,638.68,-307.15
354,307,Chimineas,Vandenberg,385,810,78241.84,Low,High,AD,1121.58,637.53,-484.05
354,316,Chimineas,Windwolves,715,810,75241.12,High,High,AS,1208.72,1015.2,-193.52
354,336,Chimineas,Chimineas,810,810,0,High,High,Sympatric,1135.54,1037.95,-97.59
358,14,Sutter Buttes,Blue Oaks,763,85,208801.77,High,Low,AD,798.38,471.68,-326.7
358,90,Sutter Buttes,Chico Creek,381,85,63269.19,Low,Low,AS,761.7,407.25,-354.45
358,111,Sutter Buttes,Chimineas,810,85,482936.04,High,Low,AD,1196.65,459.15,-737.5
358,134,Sutter Buttes,Hopland REC,253,85,114051.28,Low,Low,AS,304.79,337.32,32.53
358,142,Sutter Buttes,Humboldt Co,645,85,239441.41,High,Low,AD,688.94,268.94,-420
358,180,Sutter Buttes,McLaughlin Res,715,85,65099.23,High,Low,AD,858.18,262.76,-595.42
358,225,Sutter Buttes,Cantua Creek,530,85,334886.31,High,Low,AD,1065.59,464.26,-601.33
358,236,Sutter Buttes,San Joaquin Exp R,323,85,301602.5,Low,Low,AS,450.44,192.14,-258.3
358,263,Sutter Buttes,Sedgwick,332,85,530866.68,Low,Low,AS,788.18,266.61,-521.57
358,311,Sutter Buttes,Vandenberg,385,85,528772.71,Low,Low,AS,447.01,341.9,-105.11
358,321,Sutter Buttes,Windwolves,715,85,530804.08,High,Low,AD,1526.79,1040.63,-486.16
358,348,Sutter Buttes,Sutter Buttes,85,85,0,Low,Low,Sympatric,740.9,177.46,-563.44
359,22,Sutter Buttes,Blue Oaks,763,85,208801.77,High,Low,AD,904.55,735.79,-168.76
359,83,Sutter Buttes,Chico Creek,381,85,63269.19,Low,Low,AS,677.74,539.73,-138.01
359,129,Sutter Buttes,Hopland REC,253,85,114051.28,Low,Low,AS,191.3,198.97,7.67
359,141,Sutter Buttes,Humboldt Co,645,85,239441.41,High,Low,AD,856.68,550.01,-306.67
359,188,Sutter Buttes,McLaughlin Res,715,85,65099.23,High,Low,AD,889.19,497.12,-392.07
359,222,Sutter Buttes,Cantua Creek,530,85,334886.31,High,Low,AD,823.66,411.63,-412.03
359,237,Sutter Buttes,San Joaquin Exp R,323,85,301602.5,Low,Low,AS,851.2,521.03,-330.17
359,254,Sutter Buttes,Sedgwick,332,85,530866.68,Low,Low,AS,888.79,591.93,-296.86
359,305,Sutter Buttes,Vandenberg,385,85,528772.71,Low,Low,AS,591.33,214.97,-376.36
359,316,Sutter Buttes,Windwolves,715,85,530804.08,High,Low,AD,1208.72,814.61,-394.11
359,339,Sutter Buttes,Chimineas,810,85,482936.04,High,Low,AD,1283.33,821.55,-461.78
359,342,Sutter Buttes,Sutter Buttes,85,85,0,Low,Low,Sympatric,569.18,132.6,-436.58
360,30,Sutter Buttes,Blue Oaks,763,85,208801.77,High,Low,AD,839.47,420.99,-418.48
360,91,Sutter Buttes,Chico Creek,381,85,63269.19,Low,Low,AS,747.36,554.05,-193.31
360,105,Sutter Buttes,Chimineas,810,85,482936.04,High,Low,AD,1475,571.81,-903.19
360,125,Sutter Buttes,Hopland REC,253,85,114051.28,Low,Low,AS,159.79,71.08,-88.71
360,151,Sutter Buttes,Humboldt Co,645,85,239441.41,High,Low,AD,790.98,188.12,-602.86
360,179,Sutter Buttes,McLaughlin Res,715,85,65099.23,High,Low,AD,1122.04,399.2,-722.84
360,219,Sutter Buttes,Cantua Creek,530,85,334886.31,High,Low,AD,1143.54,354.32,-789.22
360,242,Sutter Buttes,San Joaquin Exp R,323,85,301602.5,Low,Low,AS,489.33,183.24,-306.09
360,262,Sutter Buttes,Sedgwick,332,85,530866.68,Low,Low,AS,743.3,268.49,-474.81
360,307,Sutter Buttes,Vandenberg,385,85,528772.71,Low,Low,AS,1121.58,294.26,-827.32
360,320,Sutter Buttes,Windwolves,715,85,530804.08,High,Low,AD,1000.64,321.44,-679.2
360,341,Sutter Buttes,Sutter Buttes,85,85,0,Low,Low,Sympatric,1084.18,291.93,-792.25
361,68,Sutter Buttes,Blue Oaks,763,85,208801.77,High,Low,AD,166.49,134.53,-31.96
361,77,Sutter Buttes,Chico Creek,381,85,63269.19,Low,Low,AS,576.98,293.95,-283.03
361,114,Sutter Buttes,Chimineas,810,85,482936.04,High,Low,AD,705.51,488.75,-216.76
361,137,Sutter Buttes,Hopland REC,253,85,114051.28,Low,Low,AS,409.99,476.39,66.4
361,147,Sutter Buttes,Humboldt Co,645,85,239441.41,High,Low,AD,809.28,281.05,-528.23
361,170,Sutter Buttes,McLaughlin Res,715,85,65099.23,High,Low,AD,1022.63,636.06,-386.57
361,227,Sutter Buttes,Cantua Creek,530,85,334886.31,High,Low,AD,552.07,359.42,-192.65
361,234,Sutter Buttes,San Joaquin Exp R,323,85,301602.5,Low,Low,AS,648.92,343.67,-305.25
361,253,Sutter Buttes,Sedgwick,332,85,530866.68,Low,Low,AS,1389.02,783.31,-605.71
361,286,Sutter Buttes,Sutter Buttes,85,85,0,Low,Low,Sympatric,440.74,121.83,-318.91
361,315,Sutter Buttes,Vandenberg,385,85,528772.71,Low,Low,AS,999.97,365.39,-634.58
361,317,Sutter Buttes,Windwolves,715,85,530804.08,High,Low,AD,1051.68,567.17,-484.51
362,28,Sutter Buttes,Blue Oaks,763,85,208801.77,High,Low,AD,977.18,651.81,-325.37
362,88,Sutter Buttes,Chico Creek,381,85,63269.19,Low,Low,AS,621.68,382.32,-239.36
362,132,Sutter Buttes,Hopland REC,253,85,114051.28,Low,Low,AS,366.35,342.76,-23.59
362,140,Sutter Buttes,Humboldt Co,645,85,239441.41,High,Low,AD,1249.5,799.06,-450.44
362,167,Sutter Buttes,McLaughlin Res,715,85,65099.23,High,Low,AD,1247.14,917.17,-329.97
362,220,Sutter Buttes,Cantua Creek,530,85,334886.31,High,Low,AD,742.96,316.08,-426.88
362,241,Sutter Buttes,San Joaquin Exp R,323,85,301602.5,Low,Low,AS,488.55,240.51,-248.04
362,266,Sutter Buttes,Sedgwick,332,85,530866.68,Low,Low,AS,706.13,374.61,-331.52
362,285,Sutter Buttes,Sutter Buttes,85,85,0,Low,Low,Sympatric,639.4,287.35,-352.05
362,300,Sutter Buttes,Vandenberg,385,85,528772.71,Low,Low,AS,1031.86,407.7,-624.16
362,333,Sutter Buttes,Windwolves,715,85,530804.08,High,Low,AD,790.98,391.55,-399.43
362,336,Sutter Buttes,Chimineas,810,85,482936.04,High,Low,AD,1135.54,614.23,-521.31
363,50,Sutter Buttes,Blue Oaks,763,85,208801.77,High,Low,AD,709.02,346.86,-362.16
363,78,Sutter Buttes,Chico Creek,381,85,63269.19,Low,Low,AS,707.53,276.51,-431.02
363,135,Sutter Buttes,Hopland REC,253,85,114051.28,Low,Low,AS,125.81,120.25,-5.56
363,143,Sutter Buttes,Humboldt Co,645,85,239441.41,High,Low,AD,943.06,291.46,-651.6
363,182,Sutter Buttes,McLaughlin Res,715,85,65099.23,High,Low,AD,1764.36,1210.89,-553.47
363,221,Sutter Buttes,Cantua Creek,530,85,334886.31,High,Low,AD,754.11,345.77,-408.34
363,235,Sutter Buttes,San Joaquin Exp R,323,85,301602.5,Low,Low,AS,920.18,284.64,-635.54
363,265,Sutter Buttes,Sedgwick,332,85,530866.68,Low,Low,AS,255.17,189.49,-65.68
363,301,Sutter Buttes,Vandenberg,385,85,528772.71,Low,Low,AS,1031.57,415.63,-615.94
363,331,Sutter Buttes,Windwolves,715,85,530804.08,High,Low,AD,477.38,160.9,-316.48
363,335,Sutter Buttes,Chimineas,810,85,482936.04,High,Low,AD,853.05,172.32,-680.73
363,345,Sutter Buttes,Sutter Buttes,85,85,0,Low,Low,Sympatric,198.9,74.71,-124.19
364,17,Sutter Buttes,Blue Oaks,763,85,208801.77,High,Low,AD,847.3,581.6,-265.7
364,84,Sutter Buttes,Chico Creek,381,85,63269.19,Low,Low,AS,790.17,553.86,-236.31
364,133,Sutter Buttes,Hopland REC,253,85,114051.28,Low,Low,AS,499.37,340.61,-158.76
364,157,Sutter Buttes,Humboldt Co,645,85,239441.41,High,Low,AD,1340.08,1101.09,-238.99
364,181,Sutter Buttes,McLaughlin Res,715,85,65099.23,High,Low,AD,270.64,119.64,-151
364,223,Sutter Buttes,Cantua Creek,530,85,334886.31,High,Low,AD,1031.72,543.04,-488.68
364,232,Sutter Buttes,San Joaquin Exp R,323,85,301602.5,Low,Low,AS,849.11,516.8,-332.31
364,256,Sutter Buttes,Sedgwick,332,85,530866.68,Low,Low,AS,439.74,388.22,-51.52
364,290,Sutter Buttes,Sutter Buttes,85,85,0,Low,Low,Sympatric,945.83,265.41,-680.42
